bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Audio","/explore/audio","/projects/asivio-one-best-wireless-earbuds-with-160h-play--3","2019-09-14T23:59:59-07:00","USD","23219","1.7631","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vhtbz8buxbzplba6oqb3.jpg","false","false","null","2019-08-20T00:00:00-07:00","null","null","null","null","null","2535984","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","3500mAh Power Bank Case | IPX7 Waterproof | Bluetooth 5.0 | Touch Control | Noise Reduction Earphone","[""bluetooth"",""earbuds"",""headphones"",""wireless""]","Asivio One - Best Wireless Earbuds With 160H Play"
"null","Home","/explore/home","/projects/geco-hub-effortless-storage-for-everyday-stuff","2020-05-14T23:59:59-07:00","USD","41183","5.524440196614","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ueuepknc3ama7src66m4.jpg","true","false","null","2020-05-13T23:59:59-07:00","null","null","null","null","null","2602756","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Holds your things 5 different ways, customisable, modular & with screwless installation option.","[""design"",""furniture"",""kitchen"",""wallets"",""watches""]","Geco Hub - Effortless Storage for Everyday Stuff"
"null","Dance & Theater","/explore/dance-theater","/projects/maui-circus-and-parkour-studio","2015-10-01T23:59:59-07:00","USD","1010","0.011882352941","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rilyrvu5zpxko70ycr3g.jpg","false","false","null","2015-08-02T00:44:16-07:00","null","null","null","null","null","1353719","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Bringing the Island of Maui its very own  Circus, Aerials and Parkour studio.","[""other""]","Maui Circus and Parkour Studio"
"null","Comics","/explore/comics","/projects/impossible-stars-graphic-novel","2020-10-15T23:59:59-07:00","USD","32106","3.2106","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/obf5grsmkkkhudbhwzd5.jpg","false","false","null","2020-09-15T00:00:00-07:00","null","null","null","null","null","2622101","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Aliens threaten Earth with OBLITERATION if we break the quarantine that they have FORCED upon us!","[""books""]","IMPOSSIBLE STARS Graphic Novel"
"null","Environment","/explore/environment","/projects/the-machine-of-awesome-bright-liquid-blueness","2015-04-16T23:59:59-07:00","CAD","1789","0.223625","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/g1s50aqyw2jwp5kkyr44.jpg","false","false","null","2015-03-07T06:05:10-08:00","null","null","null","null","null","1142992","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The Machine of Awesome Bright Liquid Blueness is more than an interactive sculpture, much more.","[""other""]","The Machine of Awesome Bright Liquid Blueness"
"null","Home","/explore/home","/projects/kinggaroo-easy-clean-powder","2018-02-24T23:59:59-08:00","USD","212","0.0212","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xqehn89pwetzdmpul3bx.jpg","false","false","null","2018-01-15T00:20:02-08:00","null","null","null","null","null","2317187","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","This is used for stool disposal of disabled people, easy clean pet's stool, children's vomit & pee.","[""pets"",""kids""]","KingGaroo, Easy clean powder"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/smartup-zero-validation-round-onlive","2019-11-30T23:59:59-08:00","EUR","210","0.0028","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lmnzcbgxzmnqbidnrs19.jpg","false","false","null","2019-10-01T00:00:00-07:00","null","null","null","null","null","2547490","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The Social Information Network for the Real World","[""apps"",""social innovations"",""software"",""smart phones"",""bluetooth""]","Smartup Zero - Validation Round - ONLIVE"
"null","Film","/explore/film","/projects/one-night--8","2020-11-13T23:59:59-08:00","CAD","1165","0.314864864865","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ujvvcoey4grrhhzmboge.jpg","false","false","null","2020-09-14T00:00:00-07:00","null","null","null","null","null","2622252","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A lot can change in one night","[""female founders"",""indie"",""short film"",""students"",""drama""]","One Night"
"null","Video Games","/explore/video-games","/projects/game--75","2015-06-13T23:59:59-07:00","USD","28","0.028","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vqhrbl4mdrfy0xnxhgqz.jpg","false","false","null","2015-04-14T04:03:30-07:00","null","null","null","null","null","1222168","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Game","[""other""]","Game"
"null","Local Businesses","/explore/local-businesses","/projects/268km-mtb-race-to-support-childrenwithdisabilities","2015-09-15T23:59:59-07:00","USD","1726","0.107875","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ht6hkx88pzzvek5jf1km.jpg","false","false","null","2015-07-17T21:00:39-07:00","null","null","null","null","null","1358745","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The world's toughest mountain bike race - to support  Bhutan's special children with disabilities","[""other""]","268km MTB race to support ChildrenwithDisabilities"
"null","Home","/explore/home","/projects/avedo-eco-natural-nutwood-kitchen-utensils","2019-10-21T23:59:59-07:00","GBP","240","0.024","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/f3ims4ajpueycwggvtzm.jpg","false","false","null","2019-09-16T00:00:00-07:00","null","null","null","null","null","2544459","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Modern, 100% eco-friendly kitchen utensils, designed for making and serving everyday dishes","[""design"",""family"",""food"",""kitchen"",""restaurant""]","Avedo eco natural nutwood kitchen utensils"
"null","Education","/explore/education","/projects/one-kilogram-silicon-sphere-trance-metals","2020-03-30T23:59:59-07:00","USD","52696","2.5349","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/h0s1w9zbgrvcjmeumlyw.jpg","true","false","null","2020-03-29T23:59:59-07:00","null","null","null","null","null","2592286","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A solid sphere shaped from a single crystal of 99.9999999% pure silicon.","[""beauty"",""design"",""family"",""fantasy"",""men""]","One Kilogram Silicon Sphere: Trance Metals"
"null","Local Businesses","/explore/local-businesses","/projects/a-home-for-smart-start-ccdc","2019-08-12T23:59:59-07:00","USD","330","0.00044","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/eeg2r3bngpkcmwmoqpv1.jpg","false","false","null","2019-06-13T00:00:00-07:00","null","null","null","null","null","2511740","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We are excited to move our online Child and Community Development Program to a physical location!","[""community""]","A Home for Smart Start CCDC!"
"null","Health & Fitness","/explore/health-fitness","/projects/misty-artesian-water-ribbon-bottle-of-awareness","2015-05-24T23:59:59-07:00","USD","698","0.046533333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bj8v4fdyryh7rueopqok.jpg","false","false","null","2015-04-09T08:08:09-07:00","null","null","null","null","null","1202657","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Misty Artesian Water: Water with a splash of survivor","[""other""]","Misty Artesian Water: Ribbon Bottle of Awareness"
"null","Photography","/explore/photography","/projects/beyond-ii","2018-06-19T23:59:59-07:00","EUR","788","0.262666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dkjnbpvofebpjnjiz8rf.jpg","false","false","null","2018-05-15T08:43:33-07:00","null","null","null","null","null","2375934","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Beyond is a magazine that features ten young female photographers with humanistic approach","[""magazines"",""books"",""women"",""documentary"",""female founders""]","Beyond II"
"null","Music","/explore/music","/projects/music-for-peace-camp-album","2016-05-07T23:59:59-07:00","USD","285","0.057","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vp734mkllxxldwvyhtt2.jpg","false","false","null","2016-03-08T22:08:36-08:00","null","null","null","null","null","1397008","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Creating Beautiful Melodies of Peace","[""other""]","MUSIC FOR PEACE CAMP ALBUM"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/aluminum-the-next-generation-of-clean-energy","2020-01-10T23:59:59-08:00","USD","2170","0.062","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/iosoqp8xzz4ieufrlayk.jpg","false","false","null","2019-11-22T00:00:00-08:00","null","null","null","null","prototype","2559666","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","2X Energy Density of Lithium-Ion Batteries","[""batteries"",""chargers"",""camping"",""community""]","Aluminum - The Next Generation of Clean Energy"
"null","Human Rights","/explore/human-rights","/projects/let-s-do-a-thing--2","2019-08-19T23:59:59-07:00","EUR","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ec45vs7klhlqeyy3rcof.jpg","false","false","null","2019-06-20T00:00:00-07:00","null","null","null","null","null","2516979","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Raising funds to launch a campaign to demand the release of the Catalan political prisoners,","[""community"",""other""]","Let's do a thing."
"null","Environment","/explore/environment","/projects/help-the-califonia-native-garden-foundation","2016-02-05T23:59:59-08:00","USD","730","0.048666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zo0meorarrivizrg1k0k.jpg","false","false","null","2015-12-07T15:19:00-08:00","null","null","null","null","null","1524080","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help the California Native Garden Foundation in its mission to educate and conserve.","[""social innovations"",""social innovations"",""social innovations""]","Help the Califonia Native Garden Foundation"
"Hear first about the special pre-launch campaign","Tabletop Games","/explore/tabletop-games","/projects/endless-expedition/coming_soon","null","EUR","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/iadvnwjvplhnxmgf8hkp.jpg","false","true","null","null","null","null","null","null","null","2611928","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Tabletop techno-fantasy epic about the people who adventure","[""books""]","Endless Expedition"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/the-sea-monkey-overwater-bungalows-bocas-del-toro","2018-11-30T23:59:59-08:00","USD","11005","0.244555555556","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bnatntqrafftblqjwbi4.jpg","false","false","null","2018-10-01T00:00:00-07:00","null","null","null","null","null","2379195","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Book a discounted stay and help us build another overwater bungalow! Perks available immediately.","[""adventure"",""food"",""restaurant"",""female founders""]","The Sea Monkey Overwater Bungalows, Bocas del Toro"
"null","Film","/explore/film","/projects/brazen-belles-movie","2019-12-19T23:59:59-08:00","USD","2900","0.483333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/a1eokycyd2snmiilsy5p.jpg","false","false","null","2019-10-20T00:00:00-07:00","null","null","null","null","null","2546220","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Finishing production funding for documentary.","[""documentary"",""women"",""female founders""]","Brazen Belles! Movie"
"null","Education","/explore/education","/projects/hand-in-hand--4","2015-10-25T23:59:59-07:00","USD","200","0.4","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lhegz5pb6jhumpi894rs.jpg","false","false","null","2015-10-15T13:42:23-07:00","null","null","null","null","null","1494385","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Flipping the script, together.","[""other""]","Hand in Hand "
"null","Home","/explore/home","/projects/customizable-tables-that-change-with-your-life","2019-01-13T23:59:59-08:00","USD","20784","1.0212","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/b0wt0av0vxtfprtasanp.jpg","true","false","null","2018-12-03T00:00:00-08:00","null","null","null","null","null","2423488","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We build Reliable, Resizable & Reasonable wooden furniture that is ideal for the urban apartment.","[""furniture"",""design"",""family"",""first-time founders""]","Customizable tables that change with your life"
"null","Home","/explore/home","/projects/water-while-you-shower-the-diverta-shower-drain","2015-03-15T23:59:59-07:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pbawe1vcelaoussgwrrw.jpg","false","false","null","2015-01-19T02:55:59-08:00","null","null","null","null","null","987653","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","WATER WHILE YOU SHOWER!","[""other""]","Water while you shower: the Diverta Shower Drain"
"null","Culture","/explore/culture","/projects/yes-we-cannibal-baton-rouge-louisiana","2020-08-11T23:59:59-07:00","USD","1277","0.046436363636","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/cqn58y5yor56oagveiyk.jpg","false","false","null","2020-06-12T00:00:00-07:00","null","null","null","null","null","2586374","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Anti-profit community space for free, open unrestricted, non-hierarchical cultural experimentation","[""first-time founders"",""community""]","Yes We Cannibal - Baton Rouge, Louisiana"
"null","Music","/explore/music","/projects/joe-edwards-debut-album-keep-on-running","2020-02-09T23:59:59-08:00","GBP","1328","0.189714285714","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wlzcewhle5lssto5kd5p.jpg","false","false","null","2019-12-11T00:00:00-08:00","null","null","null","null","null","2565758","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Debut album of Americana, Folk and Blues, taken straight from Nashville needs your help!","[""album"",""recording"",""guitars"",""music video""]","Joe Edwards Debut Album - 'Keep On Running'"
"null","Local Businesses","/explore/local-businesses","/projects/project-life-shell-life-saving-technology--3","2016-03-15T23:59:59-07:00","USD","71","0.00142","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ygn7zxngkzrwi78ka2oi.jpg","false","false","null","2016-01-15T16:04:16-08:00","null","null","null","null","null","1603625","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","HELLO WORLD, WE ARE DEVELOPING A TECHNOLOGY THAT CAN SAVE MANY LIVES!!","[""safety"",""drones"",""social innovations""]","Project Life Shell - Life Saving Technology "
"null","Audio","/explore/audio","/projects/airmode-transforms-wired-headphones-into-wireless","2016-12-08T23:59:59-08:00","USD","1758","0.079909090909","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nildafj7zbjttmeibxyt.jpg","false","false","null","2016-11-08T06:03:40-08:00","null","null","null","null","prototype","1926764","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","An advanced wireless switch for wired headphones complete with HiFi sound and noise cancelling tech.","[""headphones"",""earbuds"",""wireless""]","AirMode: Transforms Wired Headphones Into Wireless"
"null","Human Rights","/explore/human-rights","/projects/feya-help-us-feed-haiti","2014-05-16T23:59:59-07:00","USD","250","0.125","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zwbzkynqg4ffnwpyu5nu.jpg","false","false","null","2014-04-09T07:19:03-07:00","null","null","null","null","null","746039","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Each candle purchased buys a full meal for someone in need - feeding the World one candle at a time!","[""other""]","Feya - Help us feed Haiti"
"null","Video Games","/explore/video-games","/projects/brandoodles-digital-vision-gameshow","2017-01-11T23:59:59-08:00","USD","200","0.008","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/t6i3vt9px6avtnu204xe.jpg","false","false","null","2016-12-22T12:48:11-08:00","null","null","null","null","null","1989126","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Digital Game Show is a first-of-a kind low cost animated Game Show with revenue sharing","[""mobile apps""]","Brandoodles Digital Vision Gameshow"
"null","Writing & Publishing","/explore/writing-publishing","/projects/unraveling-her-my-first-book-needs-your-help","2015-11-01T23:59:59-08:00","USD","303","0.0606","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zpmpsirkzw0c0fe9kohx.jpg","false","false","null","2015-09-22T13:24:01-07:00","null","null","null","null","null","1427767","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Support women's health in a tactile way by contributing to the editing and publishing of this book","[""other""]","Unraveling Her- my first book needs your help!"
"null","Comics","/explore/comics","/projects/butch-cleaver--2","2020-08-10T23:59:59-07:00","USD","3975","0.9","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jkgj594dfrljliuc518r.jpg","true","false","null","2020-07-11T00:00:00-07:00","null","null","null","null","null","2574559","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The dead butcher gains power to control and weaponize bone for revenge, reckoning, and redemption.","[""horror"",""fantasy"",""books"",""adventure"",""indie""]","BUTCH CLEAVER"
"null","Music","/explore/music","/projects/un-nouvel-enregistrement-de-notre-duo","2019-01-30T23:59:59-08:00","CAD","1825","0.9125","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jgpddolefflt9kbs1vqa.jpg","false","false","null","2018-12-16T00:00:00-08:00","null","null","null","null","null","2448717","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","La musique de Giya Kancheli | The music of Giya Kancheli","[""album"",""recording"",""beauty""]","Un nouvel enregistrement de notre duo"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/adventure-costa-rica","2015-04-27T23:59:59-07:00","USD","805","0.100625","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qhbjojfzliz9jhjwzxmy.jpg","false","false","null","2015-03-28T09:37:16-07:00","null","null","null","null","null","1118521","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Your source for fishing and outdoor adventures in Costa Rica.","[""other""]","Adventure Costa Rica"
"null","Education","/explore/education","/projects/help-us-build-an-orphanage-in-liberia","2017-01-14T23:59:59-08:00","USD","5460","0.121333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/araetydkwgibn5xk6nce.jpg","false","false","null","2016-12-15T13:42:40-08:00","null","null","null","null","null","1979105","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We have found a perfect piece of land for the orphanage and need support raising the funds.","[""kids"",""kids""]","Help us build an orphanage in Liberia!"
"null","Food & Beverages","/explore/food-beverages","/projects/lumen-regenerative-hemp-elixirs","2018-12-23T23:59:59-08:00","USD","32517","1.055233333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mpscp7lxorg6f75jx8cw.jpg","false","false","null","2018-10-24T00:00:00-07:00","null","null","null","null","null","2395506","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Drink Hemp.

Feel Awesome.

Save the planet.","[""vegan"",""founders of color"",""food"",""yoga""]","Lumen: Regenerative Hemp Elixirs"
"null","Dance & Theater","/explore/dance-theater","/projects/black-doves-by-reynaldo-piniella","2020-03-01T23:59:59-08:00","USD","2122","1.325625","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ktcujsa8qtllw5rgggvi.jpg","true","false","null","2020-01-03T00:00:00-08:00","null","null","null","null","null","2570967","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","BLACK DOVES will be developed through the HB Studio Rehearsal Space Residency from January-March '20","[""community"",""drama"",""family"",""love"",""women""]","BLACK DOVES by Reynaldo Piniella"
"null","Comics","/explore/comics","/projects/omega-burakku-volume-1-manga","2020-09-30T23:59:59-07:00","USD","1641","0.41025","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hcewqy2i9khlbffty1xd.jpg","false","false","null","2020-08-01T00:00:00-07:00","null","null","null","null","null","2479125","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A young hero must discover the powers hidden within him in order to protect the universe.","[""books""]","Omega Burakku Volume 1 Manga"
"null","Film","/explore/film","/projects/colandrea","2019-01-22T23:59:59-08:00","USD","6135","0.51125","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jqlo0obks3nded8l6d03.jpg","false","false","null","2018-11-23T00:00:00-08:00","null","null","null","null","null","2436691","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","SoCal saxophonist Colandrea tries to make it big in the music industry while working a day job.","[""animation"",""indie"",""short film"",""students"",""women""]","COLANDREA"
"null","Culture","/explore/culture","/projects/the-artist-co-op-community","2017-03-30T10:37:07-07:00","USD","27655","1.1062","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pagge0jmgsvnyr79szmi.jpg","false","false","null","2017-02-28T14:48:29-08:00","null","null","null","null","null","2036434","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The Artist Co-op is a coworking space for performing artists in Manhattan.","[""community""]","The Artist Co-op"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/ultra-high-tech-dress-socks-with-15-features","2019-10-14T23:59:59-07:00","USD","25846","6.2625","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ldhwofppntuy0k9bgexl.jpg","true","false","null","2019-10-13T23:59:59-07:00","null","null","null","null","null","2546769","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The world's most versatile, high-performance, super comfortable dress socks that are built to last.","[""socks"",""design"",""clothing"",""men"",""underwear""]","Ultra-High Tech Dress Socks with 15 Features"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/help-torso-and-trunks-expand","2018-03-24T23:59:59-07:00","USD","289","0.008757575758","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qxfnchj2z5qm2uywuxne.jpg","false","false","null","2018-01-23T22:45:23-08:00","null","null","null","null","null","2286159","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We are looking to expand our growing fetish themed clothing and accessories brand.","[""underwear"",""clothing""]","Help Torso and Trunks expand."
"null","Podcasts, Blogs & Vlogs","/explore/podcasts-blogs-vlogs","/projects/season-3-of-the-arbitration-station","2018-10-25T23:59:59-07:00","EUR","1385","0.277","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/cykbzek9fsruf6fhvayr.jpg","false","false","null","2018-08-26T00:00:00-07:00","null","null","null","null","null","2408072","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We need your help to make Season 3 the best season yet.","[""recording"",""professional""]","Season 3 of the Arbitration Station"
"null","Human Rights","/explore/human-rights","/projects/with-dance-for-equality-of-gender-and-races","2017-07-31T23:59:59-07:00","USD","745","0.024833333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/k27adytwhcjikweyctqm.jpg","false","false","null","2017-06-01T11:19:39-07:00","null","null","null","null","null","1918692","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","With dances from different cultures for equality of gender and races - during/after my dance studies","[""other""]","With Dance for Equality of Gender and Races"
"null","Human Rights","/explore/human-rights","/projects/make-the-cloud-great-again","2016-05-08T23:59:59-07:00","USD","1280","2.56","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mmullvhxihprdayza1hk.jpg","false","false","null","2016-04-08T14:31:06-07:00","null","null","null","null","null","1712800","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Someone else's computer got you down? Build a Wall and Make the Cloud Great Again!","[""other""]","Make The Cloud Great Again"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/moxi-skate-team-world-mission-trip--3","2015-08-03T23:59:59-07:00","USD","3035","0.108392857143","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/imr4cy053ks2upvsfpap.jpg","false","false","null","2015-06-15T11:58:50-07:00","null","null","null","null","null","1304115","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Moxi Skate Team is raising funds to travel to this years   International Roller Fest in Spain","[""other""]","Moxi Skate Team World Mission Trip"
"null","Film","/explore/film","/projects/sick-flick-tv-original-content-fundraiser","2020-11-03T23:59:59-08:00","USD","3175","0.211666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gbfsskfvxlzyyvw7td7i.jpg","false","false","null","2020-09-04T00:00:00-07:00","null","null","null","null","null","2623436","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Bringing some badass original content to a new up and coming streaming channel!","[""horror"",""drama"",""suspense"",""comedy"",""adventure""]","Sick Flick TV Original Content Fundraiser"
"null","Health & Fitness","/explore/health-fitness","/projects/bebird-world-s-safest-ear-otoscope-cleaner","2019-12-04T23:59:59-08:00","HKD","1365463","16.439068877551","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rlwqigxpv5qnbuquxs5f.jpg","true","false","null","2019-10-15T00:00:00-07:00","null","null","null","null","null","2539534","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Portable| 1080P Camera| Reusable And Easy To Operate|The Safest Way To Protect Your Family‘s Ear！","[""family"",""kids"",""professional"",""safety"",""wireless""]","Bebird - World’s Safest Ear Otoscope Cleaner!"
